user_idx,anime_idx,anime_id,rating
80,3564,8074,8.0
73,2467,20953,3.0
45,2901,21861,9.0
299,2006,17895,7.0
521,1258,137822,90.0
64,3740,9617,10.0
64,3413,6351,7.0
700,962,124080,8.0
627,1526,150972,9.0
82,2297,20665,8.0
33,3733,9513,6.0
378,3715,9330,5.0
441,3235,481,50.0
4,843,11759,9.0
437,24,100240,4.0
59,3407,63,6.0
18,2756,21563,5.0
412,2564,21170,8.6
435,3094,369,7.0
21,835,11741,80.0
576,2300,20668,8.0
224,4029,9989,9.0
524,2747,21519,10.0
430,2390,20801,8.0
195,2817,21698,10.0
167,501,10793,7.0
207,1657,156131,60.0
283,2506,21033,7.0
277,204,10165,5.0
248,2818,21699,8.0
528,1469,14741,72.0
82,2435,20881,4.0
425,1642,15583,10.0
234,2826,21709,4.0
395,793,115230,8.5
503,3709,9260,8.0
115,3277,5118,8.0
78,1990,177,7.0
309,5,100085,6.0
82,207,101705,7.0
229,1315,140830,5.5
195,241,10218,9.0
588,2055,185,9.0
307,18,100183,7.0
106,1246,1372,70.0
731,623,11061,4.0
71,1216,13601,5.0
446,2012,18001,8.0
221,2534,21087,3.0
644,712,11319,6.0
529,2882,21827,8.9
512,2273,20626,8.0
733,488,107660,8.0
521,1344,142074,83.0
469,3697,9117,6.0
129,884,11981,10.0
199,2470,20958,9.0
145,3717,934,7.5
76,4004,99629,54.0
446,3429,6512,8.0
413,698,112667,9.0
287,146,101291,8.0
539,968,124194,5.0
121,2555,21128,9.0
104,2086,19023,8.0
424,3026,30,9.0
43,3813,97886,8.0
349,1286,139369,7.0
207,681,112323,55.0
64,2623,21284,7.0
287,2078,1889,9.0
546,4029,9989,3.0
592,557,108928,3.0
308,464,10714,7.0
412,1847,166794,8.2
430,1319,141014,10.0
14,1534,151252,7.0
130,1194,13411,6.0
243,1597,154116,5.0
190,2142,199,8.0
166,818,116742,9.0
55,2690,21406,3.0
45,1410,14513,10.0
249,897,120377,8.0
138,2649,21326,10.0
603,2448,20918,7.0
529,685,112357,7.199999999999999
476,4010,9969,10.0
124,797,11597,10.0
209,64,100668,3.0
335,713,1132,5.0
679,1329,141391,2.0
90,3001,2890,54.0
25,3165,4224,8.0
570,1993,17729,73.0
587,2454,20931,7.0
726,3876,98436,7.0
129,797,11597,7.0
242,722,113415,9.5
248,641,11113,9.0
76,908,121,75.0
229,3371,597,5.0
589,1513,15037,7.0
568,425,10620,7.0
409,2413,20837,10.0
564,1264,138056,7.5
570,7,100112,38.0
105,2522,21058,10.0
578,3587,8407,4.0
165,997,12531,10.0
77,2898,21857,7.0
689,438,106479,8.0
5,1300,139821,5.5
489,1361,142770,4.0
321,2819,21700,7.0
14,837,117448,6.0
250,2470,20958,7.5
440,249,102351,3.7
64,2128,1965,7.0
310,2271,20623,7.0
308,2747,21519,7.5
269,811,116589,5.5
512,1211,135866,8.0
584,2596,21234,9.2
142,3954,99,5.0
195,2347,20739,8.0
46,2509,21039,74.0
422,3906,98549,7.6
247,367,104647,7.0
38,2926,227,10.0
254,4012,99698,5.0
124,2613,21262,9.0
446,801,11617,8.0
605,3626,8726,3.0
669,222,101922,80.0
73,2703,21428,3.0
701,1830,16608,9.9
412,1270,138459,7.0
717,2265,20613,9.0
752,2670,21362,4.5
517,62,100659,9.0
266,1744,16067,80.0
239,2146,2001,8.0
91,1918,17074,100.0
227,1891,1691,6.0
56,3547,7805,3.0
753,828,117193,10.0
97,3876,98436,4.0
45,3328,5521,9.0
328,1171,13261,4.0
46,1237,1367,70.0
419,1093,129201,8.0
83,2357,20754,8.0
331,962,124080,8.4
392,551,108725,6.0
526,1974,17513,2.0
589,3104,3782,8.0
85,2297,20665,75.0
630,2716,21459,3.0
636,2671,21364,8.2
199,2022,18115,7.0
149,368,10465,6.0
644,1951,17265,6.0
198,363,104578,100.0
308,1457,146975,7.0
600,1672,15699,7.1
497,2779,21613,8.0
610,751,114043,9.0
476,3555,790,10.0
73,3685,9041,3.0
295,1473,147571,50.0
328,1176,133,2.0
224,3791,97731,8.0
129,395,105200,9.0
718,650,11135,7.0
647,160,101344,9.5
8,3808,97873,5.5
152,2534,21087,10.0
544,3962,9919,4.0
32,3865,98314,8.0
81,4006,99634,72.0
512,613,110350,8.0
687,1545,151801,8.0
398,2695,21416,3.0
687,2238,20572,8.0
608,162,101348,7.0
130,1077,128712,5.0
32,2149,20031,7.0
191,2187,20474,10.0
252,2468,20954,5.0
398,1654,156067,7.0
193,1389,143653,8.0
633,3969,99263,90.0
634,491,107693,6.0
644,2898,21857,3.0
159,638,111001,4.0
333,3268,5042,6.5
690,11,100166,3.0
248,811,116589,8.0
244,501,10793,6.0
84,2489,20994,5.0
466,3994,99531,8.9
740,606,110200,6.5
140,2446,20912,10.0
186,1190,133965,5.0
278,1211,135866,2.0
753,809,116566,9.0
429,1317,140960,10.0
18,161,101347,8.0
570,2537,21092,70.0
44,2381,20789,8.0
295,1015,126213,50.0
331,775,114535,8.1
233,3982,99423,5.0
82,2023,18119,9.0
220,2559,21138,10.0
741,3708,9253,7.0
44,3771,97625,9.0
176,160,101344,9.0
461,386,105018,6.0
635,2685,21394,9.0
416,2538,21093,7.0
715,2738,21507,85.0
309,191,101571,7.0
582,2575,21188,8.0
77,1693,15809,9.0
478,1408,145064,9.0
678,2898,21857,4.0
14,3722,9367,8.0
208,1887,16894,7.0
18,2591,21220,7.5
716,1645,155907,9.0
154,3640,87517,3.0
599,3237,482,7.0
207,52,100523,85.0
661,2083,19,5.0
296,799,116006,10.0
198,2816,21696,50.0
294,867,11843,100.0
79,796,11577,6.0
478,2882,21827,8.0
488,2487,20992,9.6
364,2093,1915,7.0
4,1572,1530,9.0
278,1721,159559,2.0
551,3709,9260,7.0
245,3685,9041,4.0
731,538,108553,5.0
149,2083,19,10.0
548,1347,14227,5.0
357,3040,32,10.0
241,842,11757,6.0
243,3957,99088,5.0
639,2534,21087,70.0
97,811,116589,8.0
126,2321,20701,10.0
603,100,100922,9.0
636,3841,97996,8.3
528,743,113917,87.0
220,2777,21611,6.0
96,672,112124,7.0
166,142,101280,8.0
313,3564,8074,6.0
513,109,101004,8.0
278,1785,163142,3.0
492,445,106625,6.6
633,837,117448,70.0
36,2798,21660,5.0
537,1744,16067,9.0
0,2045,1840,4.0
356,3024,2993,8.0
165,2389,20800,7.0
335,668,1120,6.0
66,1591,153818,1.5
220,2588,21213,7.0
162,1267,138424,8.0
535,1454,146953,7.3
174,1141,131586,9.0
227,2522,21058,8.0
636,815,116674,8.9
591,2687,21400,8.5
440,3275,5114,9.0
95,2265,20613,3.0
69,3079,355,10.0
364,3103,376,4.0
729,17,100182,6.0
433,3764,97592,8.0
650,639,111048,9.0
517,2351,20745,8.5
740,3537,7711,4.5
90,3181,440,81.0
220,2952,245,9.0
321,3360,5909,6.0
342,2140,19815,3.0
142,3484,7054,8.0
76,3882,98448,36.0
515,1887,16894,10.0
149,3367,5957,3.0
357,325,104157,8.0
441,2144,20,70.0
408,3687,905,6.0
757,2899,21858,3.0
79,3026,30,9.0
77,2096,19163,9.0
198,2767,21586,70.0
112,1515,150429,10.0
696,785,114963,9.0
119,2746,21518,7.0
243,1043,127230,5.0
156,2461,20946,6.0
79,2407,20827,4.0
283,503,107956,6.0
241,2358,20755,7.0
79,2182,20464,7.0
441,2473,20964,70.0
399,809,116566,7.0
14,997,12531,6.0
4,2453,20930,4.0
634,11,100166,9.5
33,2710,21450,7.0
703,2366,20767,4.0
100,209,101759,8.0
283,2716,21459,8.0
45,3716,9331,8.0
295,1367,142877,85.0
541,3969,99263,6.5
93,3569,813,8.0
106,3906,98549,70.0
24,3139,4063,7.0
309,2225,20546,8.0
5,1674,1571,2.0
73,4019,99726,3.0
139,3401,6205,5.0
302,414,105893,8.0
632,3224,4752,7.6
63,37,100332,4.0
527,740,113813,6.0
14,822,11697,6.0
627,3799,97815,5.0
556,2673,21366,7.0
490,386,105018,8.4
232,905,12079,8.0
250,1102,129898,6.5
142,2498,21006,8.0
630,1957,1735,5.0
137,2534,21087,9.0
207,1014,126192,77.0
243,986,124845,5.0
656,3139,4063,6.0
61,3999,99578,8.0
456,2716,21459,8.0
39,3017,2966,10.0
352,2277,20631,9.0
372,1227,136430,9.4
138,806,11633,10.0
722,3063,338,8.0
43,3871,98385,7.0
655,623,11061,9.0
456,3783,97668,7.0
213,2575,21188,6.0
159,835,11741,8.0
754,2534,21087,10.0
62,2480,20981,10.0
603,3795,97766,7.0
295,1052,127401,60.0
149,3323,5460,7.0
253,3490,7088,7.0
186,1577,153288,7.0
729,400,105333,8.0
160,162,101348,9.0
476,3537,7711,10.0
28,1236,13667,8.0
441,2538,21093,70.0
148,2128,1965,7.0
507,2688,21403,9.0
5,357,104464,5.0
640,1319,141014,6.0
674,2391,20802,6.5
164,2468,20954,10.0
721,249,102351,4.5
431,1408,145064,5.0
216,148,101302,9.0
146,222,101922,8.0
528,2836,21719,76.0
2,2703,21428,84.0
433,3165,4224,9.0
207,1090,129193,82.0
383,2663,21355,9.0
305,3667,893,10.0
105,2369,20770,10.0
502,785,114963,3.0
641,1602,15437,8.0
172,1984,17641,10.0
27,1522,150672,5.0
425,55,100556,6.0
278,1636,155527,2.0
96,2320,20698,9.0
591,1620,154965,7.0
669,1347,14227,80.0
302,3658,8888,7.0
50,2836,21719,9.0
249,1162,132351,5.0
14,189,10155,6.0
697,799,116006,3.0
524,613,110350,9.0
352,3734,9515,7.0
509,2921,225,4.0
494,109,101004,6.0
149,754,114087,8.0
195,2952,245,9.0
82,2628,21292,6.0
293,1513,15037,5.0
55,640,11111,1.0
335,3207,463,7.0
225,1858,16706,8.0
249,3722,9367,7.0
349,1710,158927,8.0
679,1333,141774,4.0
56,469,107201,7.0
207,2173,20448,77.0
633,3402,6211,90.0
104,2192,20483,8.0
357,1006,12565,7.0
677,2811,21685,3.0
426,2717,21460,5.0
32,2688,21403,7.0
669,1014,126192,70.0
295,92,10083,70.0
28,3861,98251,6.0
193,1382,143338,7.0
595,17,100182,7.0
229,350,104454,6.799999999999999
544,83,100773,4.0
229,792,115186,6.2
159,58,100635,4.0
220,2561,21155,8.0
7,1387,14353,7.0
149,831,1172,9.0
584,1348,142329,10.0
14,157,101338,9.0
278,2512,21043,2.0
306,1101,129874,9.0
240,2800,21665,7.0
538,3962,9919,6.0
140,3999,99578,8.0
328,2250,20594,7.0
249,2032,18195,9.0
389,1844,166700,10.0
279,1517,15051,5.0
459,1145,131681,8.0
25,1151,131942,8.0
254,2818,21699,7.0
220,2510,2104,8.0
524,2681,21385,9.0
364,840,117533,7.0
645,3877,98437,3.0
339,3962,9919,7.0
366,1060,127720,10.0
535,1382,143338,8.2
166,2010,18,8.0
80,2640,21312,8.0
512,438,106479,8.0
220,2140,19815,10.0
180,2260,20605,83.0
89,3492,71,7.0
424,1584,1535,8.0
116,2415,20840,7.0
357,652,111500,8.0
460,488,107660,8.0
379,249,102351,3.0
53,3999,99578,4.0
357,2116,194,9.0
47,2924,226,70.0
345,3013,2952,5.0
740,137,101231,6.5
69,2962,250,10.0
693,41,100388,5.0
192,1463,14719,9.0
617,1073,128547,8.5
270,2658,21339,7.0
309,3463,6793,3.0
304,2410,20832,7.5
36,2450,20920,9.0
364,1736,1604,5.0
618,2716,21459,9.0
358,3893,98502,4.0
283,2209,20517,7.0
573,2351,20745,95.0
423,2992,2759,8.0
659,3216,47,8.0
149,364,104580,8.0
29,3832,97980,43.0
365,818,116742,8.6
241,363,104578,10.0
130,1227,136430,8.0
658,146,101291,8.0
392,1408,145064,9.0
80,1387,14353,8.0
562,0,1,8.8
309,1620,154965,8.0
288,2556,21131,9.0
420,3555,790,10.0
28,1368,14289,7.0
154,1590,15379,3.0
656,2924,226,9.0
309,1721,159559,8.0
512,44,100402,8.0
93,640,11111,8.0
420,1302,140439,9.0
149,3689,906,8.0
605,2294,20661,2.0
364,743,113917,8.0
220,1858,16706,9.0
632,2271,20623,8.6
475,3773,97635,7.0
32,497,10790,7.0
604,962,124080,7.5
597,3107,3785,4.0
703,2394,20807,5.0
501,2182,20464,5.0
299,1312,14075,7.0
64,1951,17265,8.0
118,2758,21567,1.0
249,3684,904,8.0
740,606,110200,6.5
613,1693,15809,6.0
492,1954,173295,5.0
29,3543,7785,78.0
66,2714,21457,3.5
109,2719,21470,6.0
149,3256,4983,9.0
159,1317,140960,8.0
198,569,109020,40.0
659,3795,97766,6.7
247,1604,154391,6.0
529,4023,99750,8.4
664,3974,99366,6.0
324,2217,20527,7.0
590,3969,99263,100.0
596,998,125367,10.0
338,2454,20931,80.0
321,2613,21262,9.0
55,1725,16,2.0
65,2921,225,6.0
735,269,102883,7.0
537,1577,153288,8.9
321,610,110270,7.0
440,3783,97668,5.0
364,520,108307,9.0
20,100,100922,2.0
357,2823,21704,9.0
203,3451,6675,7.5
603,1418,145545,8.5
207,610,110270,62.0
82,2752,21557,4.0
403,209,101759,5.0
309,1597,154116,8.0
79,3318,5365,7.0
740,773,114446,4.0
8,543,108617,9.5
328,1410,14513,8.0
82,1590,15379,8.0
595,574,109190,8.5
134,2748,21520,8.0
709,746,113936,10.0
336,180,101432,9.0
311,3273,5081,10.0
323,680,112301,5.0
600,3701,918,9.7
66,1607,154459,2.2
76,1253,13759,61.0
476,743,113917,10.0
729,128,101165,4.0
653,2470,20958,8.0
520,3887,98491,10.0
302,674,112151,8.5
228,2277,20631,8.0
382,2922,2251,5.0
142,3415,6372,7.0
80,225,101930,7.0
163,3967,99255,8.0
309,18,100183,8.0
249,1282,139095,8.0
549,995,125206,70.0
430,827,117074,10.0
203,142,101280,8.0
193,1299,139820,7.0
160,547,10863,8.0
174,2265,20613,7.0
220,122,101102,10.0
757,3602,849,3.0
14,1122,130696,5.0
419,2897,21856,8.0
446,3220,4725,9.0
578,1574,15315,7.0
426,3658,8888,4.0
669,11,100166,80.0
278,374,104723,2.0
752,2777,21611,4.0
17,2337,20727,8.0
379,1815,16498,5.0
129,3347,572,5.0
319,2747,21519,10.0
1,2125,19603,9.0
623,2320,20698,6.0
249,804,116267,8.0
169,3569,813,6.0
476,1092,1292,10.0
609,3084,3588,7.9
38,3435,6573,6.0
64,2015,18041,8.0
699,2980,263,4.0
48,3213,4672,8.0
392,3876,98436,10.0
90,2287,20652,53.0
268,96,100876,3.0
710,1458,146984,8.9
705,3695,91,8.0
357,3292,5220,7.0
249,3040,32,10.0
73,692,112608,3.0
331,3306,5300,9.2
160,1229,136436,8.0
0,1693,15809,5.0
198,3870,98384,80.0
252,3996,99540,4.0
278,1102,129898,3.0
159,3225,476,6.0
559,3841,97996,9.0
107,3648,8795,9.0
412,3179,4382,6.0
14,167,101361,6.0
331,135,101215,8.3
108,2182,20464,8.0
200,964,12413,78.0
2,3717,934,77.0
608,2337,20727,7.0
204,850,11771,7.0
186,692,112608,6.0
80,2370,20771,7.0
254,2144,20,10.0
249,3626,8726,8.0
528,2297,20665,79.0
398,3701,918,10.0
430,3896,98506,8.0
77,1716,15911,7.0
82,2037,18247,6.0
193,130,101167,8.0
135,2402,20819,8.0
1,4034,99938,6.0
283,3995,99539,8.0
71,2697,21421,4.0
305,3397,618,10.0
349,2468,20954,9.0
651,1584,1535,10.0
654,3969,99263,9.0
391,3846,98034,8.0
1,2384,20792,9.0
55,3339,5680,2.0
28,3455,6702,3.0
0,3924,98657,5.0
139,1264,138056,6.0
248,3172,43,8.0
394,818,116742,9.3
64,2229,20553,6.0
278,841,117556,2.0
736,535,108511,7.5
419,1163,132405,8.9
467,3602,849,80.0
643,3084,3588,10.0
349,2206,20513,8.0
14,3978,9941,8.0
313,2024,18121,5.0
740,1228,136435,8.0
149,2143,19951,8.0
198,501,10793,80.0
31,2274,20627,8.0
80,2498,21006,7.0
217,3412,6347,6.0
99,3388,6127,6.0
458,2273,20626,7.5
124,2358,20755,8.0
14,392,105156,9.0
103,2484,20987,8.0
446,843,11759,8.0
636,162,101348,9.5
28,3259,5,6.0
134,2318,20694,7.0
220,2854,21764,9.0
5,185,101505,5.5
54,162,101348,10.0
200,2333,20722,66.0
227,3656,8861,5.0
149,3548,781,8.0
456,2534,21087,9.0
687,679,112300,7.5
302,1763,162314,9.5
492,1188,133898,8.3
122,3680,901,4.0
395,497,10790,9.0
321,666,111951,6.0
392,791,115183,5.0
582,3995,99539,6.0
452,825,11703,5.9
130,1693,15809,8.0
689,159,101343,8.0
313,1828,16592,5.0
489,1971,174788,9.0
752,3069,3455,6.0
364,1948,17247,4.0
249,1707,158898,8.0
366,1851,166873,9.0
82,1686,157765,7.0
651,3984,99425,8.0
757,3717,934,3.0
633,3089,3652,70.0
537,1120,130591,7.5
331,1130,13125,8.3
207,1715,159074,70.0
364,3613,857,7.0
740,3431,6547,6.5
702,868,118465,5.0
200,1691,158,43.0
198,2300,20668,80.0
256,3962,9919,7.0
45,3002,2899,10.0
135,3017,2966,7.0
417,146,101291,7.3
406,747,113950,9.0
452,3373,6,8.5
442,3820,97908,9.0
321,690,112444,7.0
73,2288,20654,3.0
65,2860,21776,8.0
210,219,101903,7.0
338,2175,20451,60.0
608,445,106625,8.0
64,3306,5300,9.0
309,3870,98384,6.0
198,2150,20033,60.0
238,3108,3786,9.7
688,1871,16782,75.0
194,2420,20850,8.0
694,2470,20958,3.0
525,2716,21459,8.0
130,842,11757,10.0
452,1185,133844,8.0
81,3969,99263,87.0
53,2857,21771,5.0
500,623,11061,8.9
14,2172,20447,8.0
268,3828,97938,2.0
21,3607,8525,80.0
358,1317,140960,9.0
313,3926,98659,7.0
610,1786,163146,7.0
227,2546,21110,7.0
249,1916,170695,7.0
142,3613,857,7.0
644,2800,21665,7.0
283,3500,73,8.0
431,11,100166,5.0
22,2206,20513,2.0
140,2882,21827,9.0
195,1403,14467,9.0
608,1157,132126,7.0
335,728,113538,7.0
720,1408,145064,10.0
112,1512,150077,6.0
73,377,10490,2.0
82,1835,166452,9.0
89,2870,21799,8.0
506,1584,1535,8.0
648,2273,20626,6.5
37,3645,8769,8.0
14,694,112625,5.0
8,2599,21239,7.0
738,1348,142329,3.0
659,1010,125839,7.7
604,2320,20698,7.5
59,183,1015,8.0
129,2321,20701,1.0
255,1232,13655,6.0
110,2716,21459,5.0
65,3800,97821,8.0
120,555,108891,10.0
198,3157,4181,69.0
64,547,10863,9.0
165,3006,2923,7.0
364,2070,18745,10.0
434,2437,20884,80.0
731,2761,21574,5.0
563,775,114535,5.0
216,3393,617,7.0
260,2182,20464,9.0
45,3314,5342,10.0
7,2703,21428,8.0
7,2265,20613,10.0
679,1252,137341,3.0
207,1658,156184,70.0
59,3708,9253,9.0
433,2811,21685,8.0
278,2764,21579,3.0
250,1141,131586,8.5
643,1596,154,10.0
492,903,120697,7.3
652,3279,513,7.800000000000001
149,3830,97940,9.0
349,1189,13391,6.0
595,4023,99750,9.5
338,3886,98478,80.0
321,3686,9047,8.0
51,1139,131573,8.3
374,2386,20796,3.0
229,3164,4214,6.0
56,867,11843,9.0
467,3580,8247,70.0
420,199,10162,7.0
204,120,10110,7.0
579,3982,99423,2.0
204,2140,19815,9.0
45,3358,587,9.0
605,555,108891,2.0
166,188,101547,5.0
361,2812,21686,9.0
587,3969,99263,10.0
535,1278,138882,8.0
96,2730,21493,7.0
402,294,103276,10.0
648,793,115230,7.0
335,2939,239,8.0
139,817,116741,4.0
752,2522,21058,7.0
96,3587,8407,8.0
452,1408,145064,6.0
166,2062,18619,8.0
412,565,108987,5.5
730,73,100723,80.0
49,1522,150672,8.0
11,580,109298,7.0
217,2076,1887,6.0
130,2044,18397,7.0
730,986,124845,100.0
641,3551,7870,8.0
35,2670,21362,7.0
716,2770,21595,7.3
492,815,116674,7.5
89,2639,21311,8.0
588,1710,158927,9.0
283,392,105156,9.0
733,3178,437,10.0
214,4024,99753,6.0
174,3669,8937,5.0
499,2420,20850,5.0
557,2897,21856,10.0
25,2078,1889,9.0
28,62,100659,5.0
229,177,101386,7.0
55,3541,7769,2.0
632,1242,136934,8.0
425,51,100500,7.0
321,3895,98505,8.0
240,142,101280,8.0
349,1598,15417,9.0
306,1833,166240,8.0
22,1693,15809,2.0
207,1582,153406,70.0
320,2429,20872,7.0
446,3337,5671,8.0
661,962,124080,7.0
280,2290,20657,5.0
731,2716,21459,4.0
91,2080,18897,81.0
275,3862,98291,9.0
93,4006,99634,7.5
3,2709,21445,6.5
740,1399,144323,3.5
154,353,104460,3.0
424,2555,21128,7.0
240,24,100240,6.0
198,215,101816,70.0
431,3457,6746,4.0
409,2056,18507,10.0
13,2468,20954,9.0
57,2421,20853,6.0
412,2687,21400,8.8
562,921,12189,7.5
364,3687,905,5.0
683,640,11111,5.0
446,2385,20793,7.0
237,2125,19603,8.0
482,1363,142838,8.0
333,3969,99263,8.1
147,1066,1281,100.0
475,880,119675,3.0
366,2800,21665,6.0
76,2898,21857,6.0
120,1518,15059,10.0
365,3959,99147,9.3
598,1145,131681,9.0
200,2874,21804,75.0
91,2952,245,100.0
740,2231,20555,8.5
243,2420,20850,4.0
310,1326,14131,6.0
743,695,112641,10.0
426,2613,21262,5.0
15,2484,20987,7.0
600,2182,20464,7.0
475,3626,8726,6.0
65,3545,7791,4.0
246,400,105333,8.0
82,4021,99748,8.0
366,340,104276,8.0
372,2144,20,8.1
708,2493,21,5.0
154,3484,7054,3.0
320,2454,20931,8.0
538,2381,20789,8.0
329,2570,21180,10.0
364,3602,849,7.0
207,96,100876,100.0
355,966,124140,8.0
28,598,109963,6.0
17,2019,18095,5.0
22,2088,19109,1.0
273,2488,20993,8.0
708,269,102883,4.0
76,3886,98478,63.0
608,720,113359,7.0
470,130,101167,8.0
368,3165,4224,5.0
476,3171,4282,10.0
539,3862,98291,4.0
300,161,101347,7.0
218,623,11061,3.0
325,2142,199,5.0
302,2130,19669,7.0
198,43,100401,70.0
17,683,11235,7.0
224,2761,21574,8.0
76,1602,15437,50.0
72,2758,21567,5.0
80,908,121,9.0
517,2279,20633,8.0
276,3708,9253,10.0
648,2383,20791,7.5
562,2494,210,6.6
574,2266,20614,3.0
715,157,101338,90.0
628,2260,20605,8.0
207,1222,136263,35.0
489,3327,552,8.0
39,2480,20981,9.0
514,73,100723,9.0
641,1668,15689,7.0
254,2182,20464,10.0
278,3543,7785,3.0
502,1216,13601,3.0
130,2032,18195,8.0
200,3484,7054,63.0
12,1595,153930,8.0
364,2100,19199,5.0
66,147,101292,2.7
412,2653,21330,6.5
59,640,11111,8.0
70,1216,13601,6.0
141,2272,20625,8.0
153,3368,5958,80.0
207,345,104325,55.0
335,1032,126793,5.0
228,142,101280,8.0
149,2955,2472,9.0
295,2013,180332,85.0
631,2454,20931,3.0
601,157,101338,10.0
682,728,113538,6.0
355,3298,5258,8.0
741,2387,20799,6.5
288,128,101165,6.0
365,640,11111,7.800000000000001
426,921,12189,5.0
338,2475,20966,80.0
66,3441,66,9.0
386,2793,21647,8.5
204,3724,94,8.0
613,2358,20755,7.0
426,2570,21180,5.0
104,2510,2104,7.0
697,2747,21519,8.0
12,3843,98005,1.0
309,1834,166372,5.0
68,2663,21355,10.0
430,503,107956,3.0
710,221,101921,8.8
203,3518,759,7.7
58,2510,2104,7.0
91,962,124080,80.0
169,3669,8937,5.0
348,221,101921,6.0
430,3834,97983,10.0
29,783,114888,50.0
248,3658,8888,7.0
430,2399,20814,6.0
588,3047,323,7.0
228,48,100483,10.0
335,3001,2890,7.0
669,1522,150672,94.0
696,3830,97940,10.0
108,2921,225,5.0
616,2482,20984,8.0
249,1452,146921,7.0
29,3273,5081,90.0
159,3486,7059,7.0
517,329,104170,9.0
152,2584,21202,6.0
673,11,100166,2.0
497,1395,144092,7.0
665,91,100815,4.0
335,830,117197,7.0
617,2860,21776,7.5
476,2746,21518,10.0
339,3418,64,9.0
55,3298,5258,1.0
235,1588,153658,7.5
478,1299,139820,8.0
623,2271,20623,8.0
49,1866,16742,3.0
696,2277,20631,10.0
130,216,101830,7.0
363,2297,20665,10.0
17,3966,9925,6.0
82,568,109019,8.0
45,3378,6030,8.0
364,3419,6408,9.0
288,2290,20657,8.0
323,1418,145545,7.0
80,472,107226,7.0
716,1462,14713,8.2
81,2578,21191,55.0
588,1918,17074,7.0
278,144,101283,2.0
349,1593,153845,6.0
77,2045,1840,8.0
412,3457,6746,7.5
62,2275,20628,10.0
220,2368,20769,9.0
167,2290,20657,6.0
165,2537,21092,8.0
501,719,113311,6.0
313,3848,98060,5.0
476,3717,934,10.0
684,2580,21196,7.0
4,2373,20774,5.0
200,100,100922,77.0
112,759,114194,6.0
687,2686,21399,7.5
78,1892,16910,7.0
510,2296,20663,7.0
246,2472,20963,7.0
